fpl_team_name,fbref_team_name
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brentford,Brentford
Brighton,Brighton
Burnley,Burnley
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Fulham,Fulham
Ipswich,Ipswich Town
Leeds,Leeds United
Leicester,Leicester City
Liverpool,Liverpool
Man City,Manchester City
Man Utd,Manchester Utd
Newcastle,Newcastle Utd
Nott'm Forest,Nott'ham Forest
Southampton,Southampton
Spurs,Tottenham
Sunderland,Sunderland
West Ham,West Ham
Wolves,Wolves
